e21c24a5-a29c-4d31-8271-f2cf66be074f,Market Capital Breakpoint Effective Date,market_capital_breakpoint_effective_date,,The calendar date when the market capital breakpoints datapoints are calculated,, ,Date/Time,Date,FALSE,,,,
5db120e9-59e8-4c43-8dce-38f067abe6c5,Region Id,region_id,,"Indicates the region/style zone where the company is assigned: United States (1), Canada (2), Latin America (3), Europe (4), Japan (5), Australia/New Zealand (6), and Asia ex Japan (7)", ,,Numeric,1|2|3|4|5|6|7,FALSE,,,,
8479d42f-9569-4513-afcb-ba34992c5f35,Market Capital Size Level,market_capital_size_level,,"Indicates the stock style (size) based on market capital breakpoints for each region: Giant-cap (G), Large-cap (L), Mid-cap (M), and Small-cap (S)", ,,Character/String,S|M|L|G,FALSE,,,,
5981e5ad-6268-4244-ab95-81c30b8c184b,Market Capital Level,market_capital_level,,Indicates the cumulative market capitalization value for stock style (size) breakpoints, ,,Numeric,Precision:38; Scale:6; Example value: 30770.013630,TRUE,,,,
123298a3-46ad-46a1-badf-44db8ca0c5a8,Market Capital Breakpoint Created Time,market_capital_breakpoint_created_time,,The timestamp (date and time) when market capital breakpoints datapoint value was created or calculated for the first time, , ,Date/Time,Timestamp,FALSE,,,,
dff09d4d-9629-4ff2-be9b-57e462ef6c82,Market Capital Breakpoint Last Updated Time,market_capital_breakpoint_last_updated_time,,The timestamp (date and time) when market capital breakpoints datapoint value was last modified, , ,Date/Time,Timestamp,FALSE,,,,
20fd0069-6814-44d4-97fb-394fe320a51d,Company Id,company_id,,Zemoga Company Id; a 10-digit unique and unchanging Zemoga identifier assigned to each company, ,,Character/String,Exact length: 10; Alpha Numeric,FALSE,,,,
6b79f81e-37f4-440c-b549-40681aedfddd,ISIN,isin,,"The acronym for International Securities Identification Number; a code that uniquely identifies a specific securities issue. The organization that allocates ISINs in any particular country is the country's respective National Numbering Agency (NNA). All internationally traded securities issuers are urged to use this numbering scheme, which is now the accepted standard by virtually all countries. The United States and Canada primarily use a similar scheme known as a CUSIP number.", ,,Character/String,Exact length: 12; Alpha Numeric,FALSE,,,,
32a3b518-4225-47d4-b554-36c52538bd21,Stock Style Effective Date,stock_style_effective_date,,The calendar date when stock style datapoints are calculated, , ,Date/Time,Date,FALSE,,,,
f1cf32a4-213b-460a-9a9a-9d893437f84f,Market Capital In USD,market_capital_in_usd,,Indicates company level market capitalization in USD currency, ,,Numeric,Precision:38; Scale:6;Example value: 127292.671263,TRUE,, ,,
e2e9d08b-5c55-4078-812b-3857e2f848d8,Prospective Earnings Yield,prospective_earnings_yield,,"The factor used to calculate value score for Zemoga Style Box Methodology. It uses projected earnings per share, sourced from third-party estimates, divided by current stock price (most recent month-end) ", ,,Numeric,Precision:38; Scale:6;Example value: 0.092952,TRUE,, ,,
e312484e-58a9-4491-96a4-d9b7ee81489f,Prospective Revenue Yield,prospective_revenue_yield,,"The factor used to calculate value score for Zemoga Style Box Methodology. It uses projected revenue per share, calculated based on historical data, divided by current stock price (most recent month-end) ", ,,Numeric,Precision:38; Scale:6;Example value: 0.605411,TRUE,, ,,
